                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0122,                0.72829,                 1.2158,                0.35823,                0.18611,                0.16584,                0.09245,                 2.4159,                 3.1525,                 2.1451,             0.00064464,             0.00064464,             0.00064464
                     35,                 1.1524,                0.80807,                 1.2331,                0.49469,                0.20971,                0.22125,                0.09742,                 2.4351,                 3.2405,                 2.0625,             0.00065412,             0.00065412,             0.00065412
                     36,                 1.0958,                0.77819,                 1.1615,                0.40137,                0.28525,                 0.2044,                0.08244,                 2.4451,                 8.1164,                 2.0485,             0.00066303,             0.00066303,             0.00066303
                     37,                 1.0896,                0.70219,                 1.1864,                0.40137,                0.28525,                 0.2044,                0.08244,                 2.4451,                 8.1164,                 2.0485,             0.00067138,             0.00067138,             0.00067138
                     38,                 1.0882,                0.76202,                 1.1763,                 0.4694,                0.29975,                0.22482,                0.12852,                 2.1673,                 4.7179,                 1.7888,             0.00067917,             0.00067917,             0.00067917
                     39,                 1.0478,                0.76869,                 1.2086,                0.43449,                0.32793,                 0.2396,                0.14204,                 2.1195,                 4.3573,                 1.9146,             0.00068639,             0.00068639,             0.00068639
                     40,                 1.1368,                0.81068,                 1.2424,                0.43449,                0.32793,                 0.2396,                0.14204,                 2.1195,                 4.3573,                 1.9146,             0.00069304,             0.00069304,             0.00069304
                     41,                  1.087,                0.73668,                 1.1949,                0.56464,                0.31909,                 0.2581,                 0.1418,                 2.0906,                 5.2768,                 2.0063,             0.00069912,             0.00069912,             0.00069912
                     42,                 1.0549,                0.69671,                 1.1905,                0.39879,                0.33661,                0.25785,                0.12524,                 2.1031,                 5.0874,                 1.9453,             0.00070464,             0.00070464,             0.00070464
                     43,                 1.1126,                 0.7618,                  1.279,                0.39879,                0.33661,                0.25785,                0.12524,                 2.1031,                 5.0874,                 1.9453,              0.0007096,              0.0007096,              0.0007096
                     44,                 1.1072,                0.72314,                 1.1907,                0.58995,                0.29818,                0.23239,                0.13146,                 2.1924,                 2.9464,                 1.9912,             0.00071399,             0.00071399,             0.00071399
                     45,                 1.0526,                0.84993,                 1.2422,                0.58995,                0.29818,                0.23239,                0.13146,                 2.1924,                 2.9464,                 1.9912,             0.00071781,             0.00071781,             0.00071781
                     46,                0.98457,                0.70319,                 1.1227,                0.54459,                0.36569,                0.33074,                0.14046,                 2.2064,                 2.1452,                  1.876,             0.00072107,             0.00072107,             0.00072107
                     47,                 1.0618,                0.67588,                 1.1635,                0.54459,                0.36569,                0.33074,                0.14046,                 2.2064,                 2.1452,                  1.876,             0.00072376,             0.00072376,             0.00072376
                     48,                 1.0504,                0.73205,                 1.1695,                0.39293,                0.36841,                0.31926,                0.13944,                 2.2192,                 2.0495,                 1.9041,             0.00072588,             0.00072588,             0.00072588
                     49,                 1.0142,                0.67347,                 1.1657,                0.39293,                0.36841,                0.31926,                0.13944,                 2.2192,                 2.0495,                 1.9041,             0.00072744,             0.00072744,             0.00072744
                     50,                 1.0119,                0.67486,                 1.0998,                 0.5092,                0.36986,                 0.3699,                 0.1429,                  2.198,                 1.7709,                 1.8513,             0.00072843,             0.00072843,             0.00072843
                     51,                0.99361,                0.66928,                 1.1722,                 0.5092,                0.36986,                 0.3699,                 0.1429,                  2.198,                 1.7709,                 1.8513,             0.00072164,             0.00072164,             0.00072164
                     52,                0.97053,                0.64345,                 1.0907,                0.47823,                0.28916,                0.31489,                0.13197,                  2.205,                 1.8781,                 1.8618,             0.00072164,             0.00072164,             0.00072164
                     53,                0.98143,                0.66152,                 1.1413,                0.47823,                0.28916,                0.31489,                0.13197,                  2.205,                 1.8781,                 1.8618,              0.0007075,              0.0007075,              0.0007075
                     54,                0.95334,                0.66949,                  1.129,                0.29885,                0.30741,                0.31255,                0.14231,                 2.1261,                 2.1158,                 1.8333,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.0187,                0.66805,                 1.1098,                0.29885,                0.30741,                0.31255,                0.14231,                 2.1261,                 2.1158,                 1.8333,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0467,                0.65822,                 1.1491,                0.30374,                0.34196,                0.26199,                0.10693,                 2.1891,                 2.1735,                 1.9151,             0.00066506,             0.00066506,             0.00066506
                     57,                 1.0791,                0.83115,                  1.275,                0.30374,                0.34196,                0.26199,                0.10693,                 2.1891,                 2.1735,                 1.9151,             0.00065091,             0.00065091,             0.00065091
                     58,                 1.0002,                0.69994,                 1.1691,                  0.353,                0.36324,                0.32687,                0.12373,                  2.186,                 2.0398,                 1.9091,             0.00063676,             0.00063676,             0.00063676
                     59,                0.91353,                0.60265,                 1.0936,                  0.353,                0.36324,                0.32687,                0.12373,                  2.186,                 2.0398,                 1.9091,             0.00062262,             0.00062262,             0.00062262
                     60,                0.90514,                0.58823,                 1.0812,                0.55511,                0.31311,                0.34476,                0.12466,                 2.2528,                 2.1803,                 1.9985,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.0345,                0.69459,                 1.2139,                0.55511,                0.31311,                0.34476,                0.12466,                 2.2528,                 2.1803,                 1.9985,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0281,                0.65168,                 1.1796,                0.57752,                0.29848,                0.30929,                0.11674,                 2.2103,                  2.375,                 1.9619,             0.00058017,             0.00058017,             0.00058017
                     63,                0.87306,                0.58594,                 1.0882,                0.57752,                0.29848,                0.30929,                0.11674,                 2.2103,                  2.375,                 1.9619,             0.00056603,             0.00056603,             0.00056603
                     64,                0.92095,                0.60769,                 1.1656,                0.56685,                0.28916,                0.29755,                 0.1164,                 2.1784,                 2.2829,                 1.9771,             0.00055188,             0.00055188,             0.00055188
                     65,                0.94259,                0.66526,                 1.1977,                0.56685,                0.28916,                0.29755,                 0.1164,                 2.1784,                 2.2829,                 1.9771,             0.00053773,             0.00053773,             0.00053773
                     66,                0.88584,                0.59803,                 1.0927,                0.59448,                0.31297,                0.32746,                0.12147,                 2.1088,                 2.0749,                 2.0439,             0.00052359,             0.00052359,             0.00052359
                     67,                0.82937,                0.56255,                 1.0543,                0.59448,                0.31297,                0.32746,                0.12147,                 2.1088,                 2.0749,                 2.0439,             0.00050944,             0.00050944,             0.00050944
                     68,                0.86219,                0.56031,                 1.0869,                0.59332,                0.30958,                0.33865,                 0.1406,                 2.0705,                 1.9197,                 1.9316,             0.00049529,             0.00049529,             0.00049529
                     69,                0.91842,                0.57909,                 1.0398,                0.59332,                0.30958,                0.33865,                 0.1406,                 2.0705,                 1.9197,                 1.9316,             0.00048114,             0.00048114,             0.00048114
                     70,                0.80075,                0.55327,                 1.0784,                0.64577,                0.26943,                 0.3645,                0.13763,                 2.1262,                 2.0266,                 1.8731,               0.000467,               0.000467,               0.000467
                     71,                0.83194,                0.53716,                 1.0803,                0.64577,                0.26943,                 0.3645,                0.13763,                 2.1262,                 2.0266,                 1.8731,             0.00045285,             0.00045285,             0.00045285
                     72,                0.85111,                0.59283,                 1.1186,                0.62544,                0.32298,                0.31609,                0.13344,                 2.1447,                 2.0648,                 1.9274,              0.0004387,              0.0004387,              0.0004387
                     73,                0.73081,                0.50959,                 0.9746,                0.62544,                0.32298,                0.31609,                0.13344,                 2.1447,                 2.0648,                 1.9274,             0.00042456,             0.00042456,             0.00042456
                     74,                 0.8441,                 0.5468,                 1.0765,                0.62219,                0.29169,                 0.2866,                0.14556,                 2.0389,                 1.9884,                 1.8933,             0.00041041,             0.00041041,             0.00041041
                     75,                0.72203,                0.47394,                 1.0014,                0.62219,                0.29169,                 0.2866,                0.14556,                 2.0389,                 1.9884,                 1.8933,             0.00039626,             0.00039626,             0.00039626
                     76,                0.77987,                0.50955,                 1.0452,                0.69109,                0.33266,                0.35638,                0.16587,                 2.0274,                 1.8867,                  1.874,             0.00038211,             0.00038211,             0.00038211
                     77,                0.72891,                0.47574,                 1.0156,                0.69109,                0.33266,                0.35638,                0.16587,                 2.0274,                 1.8867,                  1.874,             0.00036797,             0.00036797,             0.00036797
                     78,                0.74301,                0.50156,                 1.0459,                 0.6235,                0.35886,                0.41494,                0.19465,                 1.9704,                 1.8297,                  1.804,             0.00035382,             0.00035382,             0.00035382
                     79,                0.80217,                0.53663,                 1.0588,                 0.6235,                0.35886,                0.41494,                0.19465,                 1.9704,                 1.8297,                  1.804,             0.00033967,             0.00033967,             0.00033967
                     80,                0.75973,                0.50108,                 1.0308,                0.77257,                0.30424,                0.43086,                0.19714,                 1.9494,                 1.7403,                 1.7816,             0.00032553,             0.00032553,             0.00032553
                     81,                 0.7228,                 0.5117,                0.97093,                0.77257,                0.30424,                0.43086,                0.19714,                 1.9494,                 1.7403,                 1.7816,             0.00031138,             0.00031138,             0.00031138
                     82,                0.71772,                0.51431,                0.98696,                0.62912,                0.35799,                0.44825,                 0.2099,                 1.9844,                 1.7273,                 1.8183,             0.00029723,             0.00029723,             0.00029723
                     83,                0.68587,                0.49058,                0.97601,                0.62912,                0.35799,                0.44825,                 0.2099,                 1.9844,                 1.7273,                 1.8183,             0.00028308,             0.00028308,             0.00028308
                     84,                0.71552,                0.50155,                 1.0249,                0.63179,                0.36975,                 0.4525,                0.21309,                 1.9574,                 1.7434,                 1.8006,             0.00026894,             0.00026894,             0.00026894
                     85,                0.75066,                0.51117,                 1.0349,                0.63179,                0.36975,                 0.4525,                0.21309,                 1.9574,                 1.7434,                 1.8006,             0.00025479,             0.00025479,             0.00025479
                     86,                0.71053,                0.44847,                0.97384,                0.61521,                0.35507,                0.45427,                0.21502,                 1.9626,                 1.7167,                  1.829,             0.00024064,             0.00024064,             0.00024064
                     87,                0.71481,                0.47202,                 0.9932,                0.61521,                0.35507,                0.45427,                0.21502,                 1.9626,                 1.7167,                  1.829,              0.0002265,              0.0002265,              0.0002265
                     88,                 0.6718,                0.43429,                0.98975,                0.63026,                0.35345,                0.45795,                0.22703,                 1.9032,                 1.6534,                 1.8135,             0.00021235,             0.00021235,             0.00021235
                     89,                0.72606,                0.49705,                 1.0326,                0.63026,                0.35345,                0.45795,                0.22703,                 1.9032,                 1.6534,                 1.8135,              0.0001982,              0.0001982,              0.0001982
                     90,                0.66785,                0.43158,                0.96612,                0.70587,                 0.3702,                0.45198,                 0.2284,                 1.8949,                 1.6488,                 1.8154,             0.00018406,             0.00018406,             0.00018406
                     91,                0.78917,                0.53715,                 1.0782,                0.70587,                 0.3702,                0.45198,                 0.2284,                 1.8949,                 1.6488,                 1.8154,             0.00016991,             0.00016991,             0.00016991
                     92,                0.73344,                0.49515,                 1.0621,                0.78154,                0.36322,                0.45873,                0.22821,                 1.8556,                 1.6566,                  1.785,             0.00015576,             0.00015576,             0.00015576
                     93,                0.72022,                0.50218,                 1.0664,                0.78154,                0.36322,                0.45873,                0.22821,                 1.8556,                 1.6566,                  1.785,             0.00014161,             0.00014161,             0.00014161
                     94,                 0.6318,                 0.4369,                0.97979,                0.76397,                0.36431,                0.46177,                0.23022,                 1.8225,                 1.6197,                 1.7615,             0.00012747,             0.00012747,             0.00012747
                     95,                0.60145,                0.43509,                 1.0178,                0.76397,                0.36431,                0.46177,                0.23022,                 1.8225,                 1.6197,                 1.7615,             0.00011332,             0.00011332,             0.00011332
                     96,                0.61415,                0.44456,                0.92808,                 0.6773,                0.39411,                0.46446,                0.23545,                 1.8388,                 1.6135,                 1.7638,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     97,                0.61352,                0.49032,                0.99504,                 0.6773,                0.39411,                0.46446,                0.23545,                 1.8388,                 1.6135,                 1.7638,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     98,                0.64093,                0.43484,                0.98545,                0.67215,                0.39324,                0.44748,                0.22896,                 1.8554,                 1.5892,                 1.7872,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     99,                0.62057,                0.41981,                0.97358,                0.67215,                0.39324,                0.44748,                0.22896,                 1.8554,                 1.5892,                 1.7872,             5.6731e-05,             5.6731e-05,             5.6731e-05
                    100,                0.57527,                 0.4056,                0.96216,                0.71996,                  0.366,                0.43528,                0.21539,                 1.8703,                 1.5881,                 1.7918,             4.2584e-05,             4.2584e-05,             4.2584e-05
